¿Cuándo empezarían las escuelas privadas con el nuevo régimen?	['no tienen una posible fecha']
¿Cuándo es la Feria Judicial Sanitaria?	['desde el 14 de marzo del corriente año, la Suprema Corte de Justicia (SCJ, órgano máximo de nuestro Poder Judicial) resolvió comenzar una Feria Judicial Sanitaria que en principio se extenderá, según la propia SCJ, hasta el jueves 30 de abril']
¿Quiénes hacen la Feria Judicial Sanitaria?	['']
¿Cuánto dura la Feria Judicial Sanitaria?	['']
¿Cuándo se interrumpieron las funciones teatrales a causa de la pandemia?	['El 13 de marzo']
¿Cuántas salas teatrales tuieron que suspender sus funciones?	['']
¿Cuántas funciones se suspendieron a causa de la pandemia?	['']
¿En qué parte de Argentina se detectaron los casos?	['']
¿Cuándo se detectó el primer caso de la variante delta?	['']
¿Cuántos casos de covid hay en Argentina?	['']
¿Cuántos casos se detectaron en total?	['202']
¿Cuántos casos de covid hay en Alemania?	['']
¿Cuántos casos de covid se detectaron hoy en Alemania?	['3.668']
¿Qué vacuna se está usando en Alemania?	['']
¿Qué vacuna contra el covid se está usando en Israel?	['']
¿Cuántos casos de covid hubo hoy en Israel?	['6.467']
¿Cuántos casos de covid acumulados hubo en Israel?	['994.615']
¿Cuándo se dio el primer caso de covid en China?	['a finales del 2019']
¿Cuánta gente murio por covid hoy en China?	['']
¿Cuántos casos de covid se detectaron hoy en Nueva Zelanda?	['34']
¿Qué vacuna se está usando en Nueva Zelanda?	['']
¿Cuántos casos de covid hubo hoy en Nueva York?	['']
¿Cuántas personas murieron por covid en Nueva York?	['más de 7.000']
¿Cuántas muertes hubo en España por covid?	['más de 15.800']
¿Cuándo comenzó el confinamiento en España?	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
¿Cuáles son los países de la UE más afectados por la pandemia?	['']
¿Quiénes son los líderes de la UE?	['']
¿Quiénes aportarán dinero para ayudar a otros países?	['']
¿Qué diferencias hay?	['']
¿Cuánto dinero se piensa aportar para el fondo?	['']
¿Cuál era el valor mínimo del subsidio por desempleo?	['']
¿Cuánto dinero es un salario mínimo?	['']
¿Cuándo comenzó la crisis?	['']
¿Por qué se propone incrementar el valor mínimo del subsidio por desempleo?	['']
¿Cuántas personas reciben actualmente subsidio por desempleo?	['']
¿Qué medidas tomo el gobierno ante el coronavirus?	['']
¿Cuánto porcentaje de gente está de acuerdo con las medidas tomadas por el gobierno?	['']
¿Cuánto porcentaje de gente está en desacuerdo con las medidas tomadas por el gobierno?	['']
¿Quién realizó la encuesta?	['']
Pregunta	['']
¿Con qué instituciones se reunió Codicen para debatir la medida?	['Representantes de la Asociación de Institutos de Educación Privada (AIDEP) y de la Asociación Uruguaya de Educación Católica (AUDEC)']
¿Cuánto aumentaron los reclamos de los padres que mandan a sus hijos a colegio privado?	['se triplicaron']
¿Qué plataformas fueron importantes para la virtualidad en la educación?	['CREA, de Plan Ceibal']
¿Cuándo se realizó la encuesta?	['entre el 4 y el 6 de abril, el 12 y el 14 y el 20 y el 22']
¿Qué porcentaje de preocupación por contagiarse de Covid se relevó en la encuesta?	['63% en el primero, 64% en el segundo y 61% en el tercero']
¿Qué porcentaje de montevideanos se siguen informando seguido sobre el Covid, según la encuesta?	['39%, 26% y 21%']
¿Qué porcentaje de personas se informan sobre el Covid solo una vez por día o menos?	['27%, 42% y, en la última, 46%']
¿Qué porcentaje de personas tiene temor a contagiarse o que se contagie un familiar?	['de 58% a 55% y a 51%']
¿Qué porcentaje de personas cree que la preocupación por el Covid es exagerada?	['20%,17%,20%']
¿Cuándo empezará a ser obligatorio el uso de tapabocas en grandes superficies?	['Este viernes']
¿En cuáles comercios será obligatorio el uso de tapabocas en los próximos días?	['asociados al Centro de Almaceneros Minoristas, Baristas, Autoservicistas y Afines del Uruguay (CAMBADU)']
¿Cuál es uno de los sectores más afectados por la pandemia?	['sector gastronómico']
¿Cuáles son las zonas de Brasil más afectadas por el Covid?	['San Pablo y Río de Janeiro']
¿Cómo se llama el ex Ministro de Salud de Brasil, destituido por Bolsonaro?	['Luiz Henrique Mandetta']
¿Quién es el Ministro de Salud de Argentina?	['Ginés González García']
¿En qué provincias se flexibilizó la cuarentena?	['Entre Ríos, Misiones, Salta, San Juan y Neuquén']
¿En qué provincias se flexibilizó la cuarentena?	['San Juan, Santa Cruz, Misiones, Entre Ríos, Mendoza y Neuquén']
¿Hasta cuándo durará el aislamiento obligatorio en Argentina?	['hasta el 10 de mayo']
¿Cuáles son las zonas de Argentina más afectadas por el Covid?	['la ciudad de Buenos Aires y en la zona metropolitana']
¿Cuándo va a realizar los pagos la UEFA?	['de inmediato']
¿Quién es el Presidente de la UEFA?	['Aleksander Čeferin']
¿Para cuándo le gustaría a la UEFA tener definida la clasificación?	['antes de agosto']
¿Cuánto dinero se les va a adelantar a los clubes de la UEFA?	['50 millones de euros para los clubes que han cedido jugadores a las 39 federaciones que no participan en los play off de los Clasificatorios Europeos; 17,7 millones de euros para los clubes que han cedido jugadores a las 16 federaciones que participan en los play off de los Clasificatorios Europeos']
¿Cómo se llama el documento que recoge los resultados del estudio realizado por el grupo de investigación de género?	['La romantización del “quédate en casa”']
¿Cuántas mujeres viven solas con sus hijos?	['11% de los hogares en Uruguay']
¿Cuáles son los sectores económicos más afectados por la pandemia en los que trabajan las mujeres?	['el trabajo doméstico, los sectores vinculados al turismo o los servicios']
¿Cuáles grupos de personas son las más afectadas por el Covid?	['los trabajadores y las trabajadoras con mayor desprotección, informales y que trabajan en base a jornales']
¿A quién favorecen las medidas que está tomando el gobierno uruguayo?	['al capital']
¿Cuántos desempleados podría dejar la pandemia según la Organización Internacional del Trabajo?	['25 millones']
¿Quiénes son las personas más afectadas por la pandemia?	['personas trabajadoras en condiciones de informalidad, cuentapropistas, monotributistas, independientes, de economías de plataformas, trabajadoras domésticas']
¿A cuántas personas dejaron de pagarle las empresas transnacionales de alimentos en Chile?	['aproximadamente 4.000']
¿De cuáles organizaciones internacionales se retiró Uruguay con el gobierno actual?	['Telesur, del Banco del Sur, de la Unión de Naciones Suramericanas (Unasur)']
¿En qué países la pandemia afectó más a indígenas y afrodescendientes?	['Ecuador, Brasil o Colombia']
¿Dónde se puede realizar el cuestionario?	['cuarentena.uy']
¿Dónde se pueden ver los resultados?	['en cuarentena.uy/resultados']
¿Cómo se llama quien tuvo la idea del portal?	['Alejandro Maiche, profesor e investigador de la Facultad de Psicología de la Universidad de la República']
¿Cuánto aumentó el acceso a internet por cable y fibra óptica?	['hasta 32%']
¿Cuánto aumentó el acceso a internet por servicios móviles?	['hasta 44%']
¿Cuánto aumentó la venta de computadoras?	['40%']
¿Cuánto aumentó la venta de monitores?	['138%']
¿Cuánto aumentó la venta de cámaras web?	['179%']
¿Cuánto bajó la fabricación de dispositivos electrónicos a causa del confinamiento en China?	['8% promedio']
¿Cuál fue la empresa más afectada por la baja en producción de dispositivos electrónicos?	['Apple']
¿Cuánto bajó la producción de dispositivos electrónicos de Apple?	['20%']
¿Cuáles fueron los países más afectados por el Covid?	['Italia, España y Francia']
¿Cuándo se declaró el estado de emergencia en el mundo por el Covid?	['el 30 de enero']
¿Qué presidente le quitó el financiamiento a la OMS?	['estadounidense Donald Trump']
¿Cuánto aumentará la cantidad de personas con hambruna a causa del Covid?	['130 millones']
¿Quién es el jefe de la WFP?	['Arif Husain']
¿Cuántas fases planea el gobierno de Estados Unidos para re-abrir el país tras la cuarentena?	['tres']
¿Cada cuánto tiempo está previsto avanzar de una etapa a otra?	['cada 14 días']
¿Quién está evaluando la medida?	['Centros de Control y Prevención de Enfermedades (CDC)']
¿Cada cuánto habría entrenamientos de fútbol en Uruguay cuando se reanuden?	['día por medio']
¿Quién es el secretario de la Mutual Uruguaya de Futbolistas Profesionales?	['Mitchell Duarte']
¿Por cuánto tiempo hay que lavarse las manos para evitar el Covid?	['más de 20 segundos']
¿Cuándo aparecen los síntomas de Covid?	['entre los dos y los 14 días después de haber contraído el virus']
¿Hasta cuánto tiempo después del contagio se pueden presentar síntomas de Covid?	['14 días']
¿Qué porcentaje de personas fueron asintomáticas en Islandia?	['50%']
¿Qué porcentaje de personas con Covid van a CTI?	['alrededor de 5%']
¿Qué porcentaje de personas con Covid van a CTI?	['5%']
¿Qué porcentaje de personas presenta síntomas leves de Covid?	['alrededor de 80%']
¿Qué porcentaje de personas se enferma de forma grave de Covid?	['en el entorno de 15%']
¿Cuándo se empezó a recomendar el uso de tapabocas?	['En abril']
¿Cada cuánto tiempo hay que cambiarse el tapabocas?	['cuando está húmedo o cada cuatro horas']
¿Quiénes tienen que hacer cuarentena obligatoria en Uruguay?	['las personas que tengan un diagnóstico de covid-19 o que sospechen que pueden tener la enfermedad']
¿Cuántos tipos de coronavirus afectan a los humanos?	['siete']
¿Cuándo se descubrió el Covid-19?	['en diciembre de 2019']
¿Dónde se descubrió el Covid-19?	['en la provincia china de Wuhan']
¿Cuál es el nombre completo del covid?	['SARS-CoV-2']
¿Cuándo se dio a conocer el nombre completo del covid?	['el 11 de febrero']
¿Quién le puso nombre completo al covid?	['la OMS']
¿Cuáles medicamentos sirvieron hasta ahora para tratar el covid?	['la cloroquina y la hidroxicloroquina']
¿Cuál era la fecha original del mundial de Fórmula 1?	['28 de junio']
¿Qué medidas tomó el gobierno francés?	['prohibición de aglomeraciones de gente']
¿Quién es Chase Carey?	['director ejecutivo de la competencia']
¿Quién es Chase Carey?	['CEO de la Fórmula 1']
¿En dónde se va a hacer la primera carrera de Fórmula 1?	['Austria']
¿Quién va a presentar un proyecto para estudiar el contagio de coronavirus en mascotas?	['Facultad de Veterinaria de la Universidad de la República']
¿Quién va a presentar un proyecto para estudiar el contagio de coronavirus en mascotas?	['doctor Alejandro Benech, grado 5 y director del Departamento de Pequeños Animales de dicha facultad']
¿Qué es el ARN?	['una molécula presente en las células que se encarga de mediar entre la información almacenada en el ADN y la síntesis de proteínas adecuada']
¿Qué es el ARN?	['una especie de mensajero entre la información que existe y la producción de proteínas']
¿Quién es el Ministro de Salud de España?	['Salvador Illa']
¿Qué medidas se deben tomar al aire libre en España?	['se recomienda el uso de tapabocas, aunque no es obligatorio, y policías, a pie, en móviles e incluso en helicópteros, llamaban a las personas a mantener la distancia social']
¿Qué actividades al aire libre se permitirán próximamente en España?	['salidas para hacer deporte de forma individual, los paseos en familia y paseos breves para las personas mayores']
¿Cuáles son las medidas sanitarias que se deben respetar durante la caravana del 1 de mayo 2020?	['por ejemplo, que en la caravana sólo pueda ir una persona por moto o bicicleta, no más de dos por auto –una persona adelante y otra atrás– y “todo el mundo con tapaboca”.']
¿Quiénes van a respaldar, en materia de seguridad, la caravana del 1 de mayo?	['el MI “va a ayudar a la seguridad de esa caravana” con la Policía de Tránsito']
¿Dónde se celebra el 1 de mayo 2020?	['“la casa de familia” de cada uno de los trabajadores']
¿Cuáles son las empresas más afectadas por la pandemia?	['las microempresas y las empresas del sector vinculado a los alojamientos y servicios de comida y comercio']
¿Qué porcentaje de empresas están conformes con las medidas del gobierno?	['35,4% considera que son “adecuadas” y 2,6% opina que se “ajustan perfectamente” a sus requerimientos']
¿Qué porcentaje de empresas no pudo implementar las medidas promocionadas por el gobierno?	['33,1%']
¿Cuáles son las medidas anunciadas por el gobierno que más implementaron las empresas?	['las del seguro de paro flexible (26,7%) y el aplazamiento de aportes tributarios (20,2%)']
¿Qué porcentaje de empresas adoptaron la medida de seguro de paro flexible?	['26,7%']
¿Qué porcentaje de empresas adoptaron la medida de aplazamiento de aportes tributarios?	['20,2%']
¿Qué porcentaje de empresas recogió caídas en sus niveles de venta?	['86,9%']
¿Qué tipo de empresa registró más caída en sus niveles de venta?	['las microempresas']
¿Qué tipo de empresa registró más caída en sus niveles de venta?	['las empresas de alojamiento y servicios de comida']
¿Qué porcentaje de microempresas registró caída en las ventas?	['91,4%']
¿Qué porcentaje de empresas de alojamiento y comida registró caídas en las ventas?	['96,3%']
¿Qué porcentaje de empresas de construcción registró caídas en las ventas?	['88,9%']
¿Qué porcentaje de comercios minoristas y mayoristas registró caídas en las ventas?	['88,4%']
¿Qué proporción de empresas mandaron empleados a seguro de desempleo?	['seis de cada diez empresas']
¿Cuál es el sector que envió a más trabajadores a seguro de desempleo?	['el sector de alojamiento y servicios de comida']
¿Qué porcentaje de empresas del sector de alojamiento y comida mandó a sus trabajadores a seguro de desempleo?	['81,5%']
¿Qué porcentaje de empresas de comercio mandó a sus trabajadores a seguro de desempleo?	['66,9%']
¿Qué porcentaje de empresas del sector manufacturero mandó a sus trabajadores a seguro de desempleo?	['60%']
¿Qué porcentaje de empresas mandó a más del 75% de sus empleados a seguro de desempleo?	['41,2%']
¿Cuántas empresas mandaron a sus empleados a seguro de paro parcial?	['Del total de empresas que enviaron al seguro de paro, la mitad']
¿Cuántas empresas no están en condiciones de pagar los salarios?	['10%']
¿Cuántas empresas no quieren llamar a una nueva ronda de Consejo de Salarios?	['50%']
¿Cuándo se reanudaría el trabajo judicial tras la Feria Judicial Sanitaria?	['el lunes 4 de mayo']
¿Quién resolvió hacer la Feria Judicial Sanitaria?	['la Suprema Corte de Justicia (SCJ, órgano máximo de nuestro Poder Judicial)']
¿Cómo se llama el proyecto para paliar las consecuencias de la crisis sanitaria para los artistas?	['CulturaenCasa.uy']
¿Cuándo se declaró la emergencia sanitaria en Uruguay?	['El 13 de marzo']
¿Cuántos casos de covid se detectaron a lo largo de la pandemia en Argentina?	['5,1 millones']
¿Cuántas muertes causó el covid en Argentina?	['110.609']
¿Cuántas personas en Argentina tienen solo una dosis de vacuna contra el covid?	['27,3 millones']
¿Cuántas personas de Argentina ya tienen su esquema de vacunación completo?	['12,2 millones']
¿Cuándo se empezó a aplicar la medida de las tres G en Alemania?	['este lunes']
¿A qué tipo de espacios apunta la medida de las tres G?	['todo tipo de espacios públicos cerrados']
¿Cuántos casos semanales por cada 100.000 habitantes hay en Alemania?	['56,4']
¿Cuántas personas tienen la dosis de refuerzo en Israel?	['más de 1,4 millones']
¿A partir de qué edad los niños se pueden vacunar en el horario escolar?	['mayores de 12 años']
¿Cuántas personas de entre 12 y 15 años tienen alguna dosis de la vacuna?	['cuatro de cada diez']
¿Cuándo controló la expansión del virus China?	['primavera de 2020']
¿Cuántas personas tuvieron que confinarse debido al nuevo brote de covid?	['varios millones']
¿Cuántos positivos hubo en la gente que llegó del extranjero a China?	['21']
¿Hasta cuándo habrá cuarentena en Nueva Zelanda?	['hasta el próximo viernes']
¿En qué partes de Nueva Zelanda habrá confinamiento por siete días?	['']
¿Cuándo se empezó a vacunar gente por covid en Nueva Zelanda?	['el pasado febrero']
¿Cuántas personas murieron en sus hogares en los primeros cinco días de abril en Nueva York?	['1.125']
¿Quiénes trabajan para recuperar los cuerpos de los muertos por covid?	['15 equipos compuestos por cuatro empleados de morgues y bomberos']
¿Cuántos contagios hubo en Nueva York en total?	['casi 175.000']
¿Cuándo se detuvo la actividad económica en España?	['los últimos días de marzo']
¿Qué país supera en muertos por covid a España?	['Italia']
¿Cuándo se detuvo la actividad económica en España?	['el 30 de marzo']
¿Cuándo se comenzará a retomar la actividad económica en España?	['A partir del lunes']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
	['']
