Documento	Pregunta	Anotador	Respuesta	
ld0006	¿Qué películas nuevas ofrece Netflix?	AR	[Largo viaje hacia la noche] y [Atlantique]: dos películas disponibles en Netflix que antes se solían limitar al circuito especializado.	
ld0006	¿Qué películas nuevas ofrece Netflix?	AR	Tomando en cuenta esto último, se abre la chance para recomendar dos películas que están a un clic de distancia y que en la mayoría de los días quedarían circunscritas a unas pocas salas especializadas: [Largo viaje hacia la noche, del chino Bi Gan, y Atlantique, de la francosenegalesa Mati Diop], dos films con distintos estilos que han circulado por un montón de festivales y que se anclan en un extraño juego de temporalidades.	
ld0009	¿Cuántos días de cuarentena hubo en España?	AR	Tras [42] días de confinamiento, los niños de menos de 14 años pueden salir de sus casas en España durante una hora al día, acompañados de un adulto y a una distancia máxima de un kilómetro de su casa.	
ld0009	¿Qué actividades al aire libre se permiten en España?	AR	-	
ld0012	¿Qué comercios se vieron afectados por la pandemia?	AR	-	
ld0012	¿Cuánto tiempo estuvieron cerrados los comercios durante la pandemia?	AR	-	
ld0073	¿Quién recomienda las medidas sanitarias en Uruguay?	AD	-	
ld0073	¿Cuántos casos de Covid había en Uruguay en la semana del 1 de mayo 2020?	AD	-	
ld0079	¿Cuántas empresas cerraron por la pandemia?	AD	-	
ld0079	¿Qué porcentaje de empresas están desconformes con las medidas del gobierno en pandemia?	AD	Encuesta de la Cámara de Comercio: [58%] de las empresas consideran que medidas del gobierno son “insuficientes” o “discordantes”	
ld0079	¿Cuántas personas están en seguro de paro?	AD	-	
ld0082	¿Cuándo es la Feria Judicial Sanitaria?	AD	Pero debido a la pandemia y a la cuarentena, [desde el 14 de marzo del corriente año, la Suprema Corte de Justicia (SCJ, órgano máximo de nuestro Poder Judicial) resolvió comenzar una Feria Judicial Sanitaria que en principio se extenderá, según la propia SCJ, hasta el jueves 30 de abril].	!!! span discontinuo?
ld0082	¿Quiénes hacen la Feria Judicial Sanitaria?	AD	-	
ld0082	¿Cuánto dura la Feria Judicial Sanitaria?	AD	-	
ld0083	¿Cuándo se interrumpieron las funciones teatrales a causa de la pandemia?	AD	[El 13 de marzo], en el momento en que Uruguay declaraba estado de emergencia sanitaria, con el equipo de Doméstica realidad nos encontrábamos en la sala Atahualpa del teatro El Galpón, donde nos preparábamos para nuestra segunda función con público.	
ld0083	¿Cuántas salas teatrales tuieron que suspender sus funciones?	AD	-	
ld0083	¿Cuántas funciones se suspendieron a causa de la pandemia?	AD	-	
mp0061	¿En qué parte de Argentina se detectaron los casos?	SGoy	-	
mp0061	¿Cuándo se detectó el primer caso de la variante delta?	SGoy	-	
mp0061	¿Cuántos casos de covid hay en Argentina?	SGoy	-	
mp0061	¿Cuántos casos se detectaron en total?	SGoy	La ministra de Salud de Argentina, Carla Vizzotti, informó este martes que diez de los [202] contagios detectados en el país con la variante delta de la covid-19 no tienen origen rastreable a un caso importado.	
mp0062	¿Cuántos casos de covid hay en Alemania?	SGoy	-	
mp0062	¿Cuántos casos de covid se detectaron hoy en Alemania?	SGoy	En las últimas 24 horas se verificaron [3.668] nuevas infecciones y cuatro fallecidos con o por coronavirus.	
mp0062	¿Qué vacuna se está usando en Alemania?	SGoy	-	
mp0063	¿Qué vacuna contra el covid se está usando en Israel?	SGoy	-	
mp0063	¿Cuántos casos de covid hubo hoy en Israel?	SGoy	El Ministerio de Sanidad informó este lunes de [6.467] nuevos positivos, lo que eleva a 994.615 el balance provisional de casos de COVID-19 desde el inicio de la pandemia.	
mp0063	¿Cuántos casos de covid acumulados hubo en Israel?	SGoy	El Ministerio de Sanidad informó este lunes de 6.467 nuevos positivos, lo que eleva a [994.615] el balance provisional de casos de COVID-19 desde el inicio de la pandemia.	
mp0064	¿Cuándo se dio el primer caso de covid en China?	SGoy	Desde la aparición de los primeros casos de covid en el país, [a finales del 2019], se trata del brote más importante en términos geográficos.	
mp0064	¿Cuánta gente murio por covid hoy en China?	SGoy	-	
mp0065	¿Cuántos casos de covid se detectaron hoy en Nueva Zelanda?	SGoy	Las autoridades registraron hoy [34] nuevos contagios locales, lo que supone un total de 107 casos desde el pasado martes.	
mp0065	¿Qué vacuna se está usando en Nueva Zelanda?	SGoy	-	
ld0303	¿Cuántos casos de covid hubo hoy en Nueva York?	SGoy	-	
ld0303	¿Cuántas personas murieron por covid en Nueva York?	SGoy	El estado de Nueva York, y en particular la ciudad del mismo nombre, han sido las zonas más afectadas del país por la pandemia, con [más de 7.000] fallecidos y casi 175.000 personas infectadas.	
ld304	¿Cuántas muertes hubo en España por covid?	SGoy	España es ya el segundo país del mundo con mayor número de casos confirmados de coronavirus, con más de 157.000, un número que sólo supera Estados Unidos, y la cifra de muertos es [más de 15.800], sólo superada por Italia.	
ld304	¿Cuándo comenzó el confinamiento en España?	SGoy	-	
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
t202112	¿Cuáles son los países de la UE más afectados por la pandemia?	SGoy	Italia y España	
t202112	¿Quiénes son los líderes de la UE?	SGoy	-	
t202112	¿Quiénes aportarán dinero para ayudar a otros países?	SGoy	-	
t202112	¿Qué diferencias hay?	SGoy	-	
t202112	¿Cuánto dinero se piensa aportar para el fondo?	SGoy	-	
t202113	¿Cuál era el valor mínimo del subsidio por desempleo?	SGoy		
t202113	¿Cuánto dinero es un salario mínimo?	SGoy		
t202113	¿Cuándo comenzó la crisis?	SGoy		
t202113	¿Por qué se propone incrementar el valor mínimo del subsidio por desempleo?	SGoy		
t202113	¿Cuántas personas reciben actualmente subsidio por desempleo?	SGoy		
t202114	¿Qué medidas tomo el gobierno ante el coronavirus?	SGoy	-	
t202114	¿Cuánto porcentaje de gente está de acuerdo con las medidas tomadas por el gobierno?	SGoy	-	
t202114	¿Cuánto porcentaje de gente está en desacuerdo con las medidas tomadas por el gobierno?	SGoy	-	
t202114	¿Quién realizó la encuesta?	SGoy	La consultora Grupo Radar	
