Documento,Pregunta,Anotador,Respuesta
ld0203,¿Quién es el presidente de Argentina?,LC,"La falta de fondos necesarios para paliar la grave crisis económica que atraviesa Argentina, que se vio, al igual que el resto del mundo, notoriamente dañada por la pandemia de coronavirus, llevó al gobierno que encabeza [Alberto Fernández] a tomar medidas excepcionales."
ld0203,¿Cuánto dinero recaudará Argentina con su impuesto a las grandes fortunas?,LC,Gobierno argentino calcula que recaudará algo más de [3.000 millones de dólares] con el impuesto a las grandes fortunas del país
ld0203,¿Cuánto dinero recaudará Argentina con su impuesto a las grandes fortunas?,LC,"De acuerdo a los cálculos preliminares, el gobierno espera recaudar una cifra algo superior a [3.000 millones de dólares], de acuerdo con lo que reveló el diputado oficialista Carlos Heller, quien encabeza la redacción de la normativa, según consignó Tiempo Argentino."
ld0203,¿Quiénes deben pagar el impuesto a las grandes fortunas de Argentina?,LC,El nuevo tributo gravaría a [las personas físicas con riquezas por encima de los tres millones de dólares y también alcanzaría a los patrimonios y ganancias empresariales].
ld0205,¿Cuándo se suspendió la LUB?,LC,-
ld0205,¿Cuándo vuelven a jugarse los partidos de la Liga Uruguaya de Básquetbol?,LC,La LUB vuelve en [setiembre]
ld0205,¿Cuándo vuelven a jugarse los partidos de la Liga Uruguaya de Básquetbol?,LC,"Así lo hizo saber el Consejo de la Liga, que resolvió la reanudación de los play off en [setiembre] y con público en las tribunas."
ld0205,¿Cuántos partidos de la LUB se suspendieron debido al covid?,LC,"Para el comienzo de los play off [falta una etapa], pero los clasificados están definidos: Olimpia, Malvín, Nacional, Trouville, Defensor Sporting, Hebraica y Macabi, Aguada y Urunday Universitario."
ld0206,¿Cuántas camas de CTI hay?,LC,"Si ahora tomamos sólo las camas de cuidados intensivos y cuidados intermedios, los datos del MSP nos dicen que hay [881] (691 en las mutuales y 190 en ASSE), lo que da 2,6 camas cada 10.000 habitantes, también con liderazgo en la región."
ld0206,¿Cuántos casos de covid-19 hay?,LC,-
ld0206,¿Cuántas camas de CTI están ocupadas?,LC,-
ld0207,¿Cuántos estudiantes de primaria tomarán clases virtuales?,LC,-
ld0207,¿Qué carreras de UTU se harán de forma virtual?,LC,"Este escenario cambió cuando, hace pocas semanas, el consejo resolvió que [todas] las carreras terciarias de UTU tuvieran también su espacio en la virtualidad."
ld0207,¿Hasta cuándo se suspenden las clases presenciales?,LC,-
ld0210,¿Cuándo se reanudan las clases en las escuelas no rurales?,LC,-
ld0210,¿Desde cuándo se mantienen cerradas las escuelas?,LC,-
ld0210,¿Qué condiciones debe tener una escuela para poder reanudar sus clases?,LC,"Como resultado de ese encuentro, se logró flexibilizar el inicio de clases: sólo comenzarán la semana que viene las [escuelas que estén habilitadas por el Sinae]."
ld0210,¿Qué condiciones debe tener una escuela para poder reanudar sus clases?,LC,"Elbia Pereira, secretaria general de la Federación Uruguaya de Magisterio-Trabajadores de Educación Primaria (FUM-TEP), aseguró a la diaria que no comenzarán las 973 escuelas rurales, sino sólo [aquellas que tengan la aprobación sanitaria del Sinae], que tomará como insumo un informe que realizó el Consejo de Educación Inicial y Primaria (CEIP) para corroborar las distintas situaciones en las que se encuentran las instituciones."
mp0070,¿Qué centro educativo de Paysandú cerró por covid?,SGoy,"El director de Salud de Paysandú, Carlos Leoni, señaló que el colegio “tuvo que interrumpir la presencialidad y continuar con clases virtuales”. El director de Salud de Paysandú, Carlos Leoni, informó este miércoles en conferencia de prensa que [un centro educativo privado] del departamento fue cerrado por un brote de coronavirus."
mp0070,¿Hasta cuándo cerró el centro educativo de Paysandú?,SGoy,-
ld0307,¿Cuándo se dio un cuello de botella en el Hospital Español?,SGoy,"Finalmente, [en la tarde del jueves 9 de abril], una médica de familia del Cerro lo fue a ver a su casa y ordenó su traslado al Hospital Español."
ld0307,¿Cuántos años tiene el paciente que esperó toda una noche en una ambulancia?,SGoy,-
ld0307,¿Quién tuvo que esperar toda la noche en una ambulancia?,SGoy,"La semana pasada, [Martín Mesa] empezó con fiebre alta y tos seca. Su familia llamó en varias instancias al número 105, del Servicio de Atención Médica de Emergencia, pero no lograron que un médico lo fuera a ver."
ld0309,¿Cuándo se supendieron las clases?,SGoy,-
ld0309,¿Quién pidió no retomar las clases el 22 de abril?,SGoy,"[La Sociedad de Medicina Rural del Uruguay (Someruy)] manifestó su desacuerdo con la decisión del gobierno de retomar las clases presenciales en 973 escuelas rurales de todo el país, a excepción de Canelones, el miércoles 22 de abril."
ld0309,¿Cuándo se piensa retomar las clases presenciales?,SGoy,"La Sociedad de Medicina Rural del Uruguay (Someruy) manifestó su desacuerdo con la decisión del gobierno de retomar las clases presenciales en 973 escuelas rurales de todo el país, a excepción de Canelones, [el miércoles 22 de abril]."
ld0310,¿Qué es la FUM?,SGoy,"En un comunicado hecho público este viernes, la Federación Uruguaya a de Magisterio (FUM), manifestó su rechazo a la determinación del Poder Ejecutivo de reanudar las clases en las escuelas rurales a partir del 22 de abril."
ld0310,¿Cuándo se piensa reanudar las clases en las escuelas rurales?,SGoy,"En un comunicado hecho público este viernes, la Federación Uruguaya a de Magisterio (FUM), manifestó su rechazo a la determinación del Poder Ejecutivo de reanudar las clases en las escuelas rurales a partir del [22 de abril]."
ld0085,¿Por dónde se puede ver el seminario de Isol Misenta?,AD,"La autora e ilustradora argentina Isol Misenta, premiada con el Memorial Astrid Lindgren 2013, formará parte esta tarde a las 17.00 de un taller [a través del Instagram Live de @plastilinarte], leyendo parte de su libro Petit, el monstruo, que inspiró una serie animada infantil."
ld0085,¿Cuándo va a ser el seminario de Isol Misenta?,AD,"La autora e ilustradora argentina Isol Misenta, premiada con el Memorial Astrid Lindgren 2013, formará parte [esta tarde a las 17.00] de un taller a través del Instagram Live de @plastilinarte, leyendo parte de su libro Petit, el monstruo, que inspiró una serie animada infantil."
ld0085,¿Quién es Isol Misenta?,AD,"La [autora e ilustradora argentina] Isol Misenta, premiada con el Memorial Astrid Lindgren 2013, formará parte esta tarde a las 17.00 de un taller a través del Instagram Live de @plastilinarte, leyendo parte de su libro Petit, el monstruo, que inspiró una serie animada infantil."
ld0085,¿A quién está dirigido el seminario de Isol Misenta?,AD,Taller de Isol Misenta y seminario online [para familias] en pandemia
ld0086,¿Dónde se va a transmitir el encuentro virtual de diseño?,AD,"Hasta el 25 de abril, [a través del canal en Instagram @latirfestival], diseñadores, ilustradores, emprendedores y creativos comparten experiencias profesionales desde sus hogares."
ld0086,¿Quiénes participan del encuentro virtual de diseño?,AD,"Hasta el 25 de abril, a través del canal en Instagram @latirfestival, [diseñadores, ilustradores, emprendedores y creativos] comparten experiencias profesionales desde sus hogares."
ld0086,¿Quiénes participan del encuentro virtual de diseño?,AD,"Este mediodía participan, desde España, [Palo y Nuel, un dúo creativo que trabaja bajo el nombre de Estudio Santa Rita], y a las 20.00 estará en línea el ilustrador, dibujante y músico autodidacta peruano Amadeo Gonzales; mañana a partir de las 16.00 Choper Nawers, desde México, instruirá sobre “cómo sobrevivir a la depresión del talento ajeno”, en tanto a las 20.00 San Spiga, un “trabajador de la imagen” argentino, estará dando su visión bajo la consigna “se hace, se aprende”."
ld0086,¿Quiénes participan del encuentro virtual de diseño?,AD,"Este mediodía participan, desde España, Palo y Nuel, un dúo creativo que trabaja bajo el nombre de Estudio Santa Rita, y a las 20.00 estará en línea el ilustrador, dibujante y músico autodidacta peruano [Amadeo Gonzales]; mañana a partir de las 16.00 Choper Nawers, desde México, instruirá sobre “cómo sobrevivir a la depresión del talento ajeno”, en tanto a las 20.00 San Spiga, un “trabajador de la imagen” argentino, estará dando su visión bajo la consigna “se hace, se aprende”."
ld0086,¿Quiénes participan del encuentro virtual de diseño?,AD,"Este mediodía participan, desde España, Palo y Nuel, un dúo creativo que trabaja bajo el nombre de Estudio Santa Rita, y a las 20.00 estará en línea el ilustrador, dibujante y músico autodidacta peruano Amadeo Gonzales; mañana a partir de las 16.00 [Choper Nawers], desde México, instruirá sobre “cómo sobrevivir a la depresión del talento ajeno”, en tanto a las 20.00 San Spiga, un “trabajador de la imagen” argentino, estará dando su visión bajo la consigna “se hace, se aprende”."
ld0086,¿Quiénes participan del encuentro virtual de diseño?,AD,"Este mediodía participan, desde España, Palo y Nuel, un dúo creativo que trabaja bajo el nombre de Estudio Santa Rita, y a las 20.00 estará en línea el ilustrador, dibujante y músico autodidacta peruano Amadeo Gonzales; mañana a partir de las 16.00 Choper Nawers, desde México, instruirá sobre “cómo sobrevivir a la depresión del talento ajeno”, en tanto a las 20.00 [San Spiga], un “trabajador de la imagen” argentino, estará dando su visión bajo la consigna “se hace, se aprende”."
ld0086,¿Quiénes participan del encuentro virtual de diseño?,AD,"El viernes 24 a las 16.00 la uruguaya [Sasha Natasha] hablará de lettering en tiempos de cuarentena, y a las 20.00 su compatriota Martín Azambuja, actualmente contratado por Pentagram, de Nueva York, contará sus novedades."
ld0086,¿Quiénes participan del encuentro virtual de diseño?,AD,"El viernes 24 a las 16.00 la uruguaya Sasha Natasha hablará de lettering en tiempos de cuarentena, y a las 20.00 su compatriota [Martín Azambuja], actualmente contratado por Pentagram, de Nueva York, contará sus novedades."
ld0086,¿Quiénes participan del encuentro virtual de diseño?,AD,"La última jornada empezará a las 12.00 con el uruguayo [Berch Kotogian], marcado por el street art aunque aprecia “la potencia de la comunicación visual en todas sus formas”, algo que ahora aplica al diseño de logos para clientes de todas partes, desde Valencia."
ld0086,¿Quiénes participan del encuentro virtual de diseño?,AD,"El sábado hablarán además el diseñador gráfico e ilustrador marplatense [Panco Sassano] a las 16.00 y Pepita Sandwich a las 20.00, contando sobre una trayectoria que comenzó con el diseño textil, exploró la fotografía y la ilustración y el año pasado la llevó a completar un postgrado en Cómic en The Center for Cartoon Studies, en Vermont."
ld0086,¿Quiénes participan del encuentro virtual de diseño?,AD,"El sábado hablarán además el diseñador gráfico e ilustrador marplatense Panco Sassano a las 16.00 y [Pepita Sandwich] a las 20.00, contando sobre una trayectoria que comenzó con el diseño textil, exploró la fotografía y la ilustración y el año pasado la llevó a completar un postgrado en Cómic en The Center for Cartoon Studies, en Vermont."
ld0086,¿Cuándo se va a desarrollar el encuentro virtual de diseño?,AD,"[Hasta el 25 de abril], a través del canal en Instagram @latirfestival, diseñadores, ilustradores, emprendedores y creativos comparten experiencias profesionales desde sus hogares."
ld0091,¿Cuándo comenzó la pandemia en Italia?,AD,-
ld0091,¿Quién es el Primer Ministro de Italia?,AD,"El primer ministro italiano, [Giuseppe Conte], se presentó ayer en el Senado y presentó la estrategia que tiene pensado llevar adelante su gobierno para comenzar a reabrir el país, uno de los más castigados del mundo por la pandemia de coronavirus."
ld0091,¿Quién es el Ministro de Salud de Italia?,AD,-
ld0091,¿Cuándo comienza la reapertura tras la pandemia en Italia?,AD,"En su exposición ante los legisladores, Conte brindó detalles sobre la denominada “fase dos” de la reapertura gradual del país, que será [a partir del 4 de mayo]."
ld0093,¿Cuándo se decretó la cuarentena en la Argentina?,AD,"[Al cumplirse un mes] de la cuarentena obligatoria impuesta por el Ejecutivo que él preside para detener la propagación del coronavirus, el presidente argentino, Alberto Fernández, publicó en sus redes sociales un mensaje en el que manifestó “orgullo” por el comportamiento del pueblo en esta situación tan particular."
ld0093,¿Cuándo apareció el primer caso de Covid en la Argentina?,AD,"Desde que se diagnosticó el primer caso de covid-19 en el país, [el 3 de marzo], el gobierno comenzó a implementar medidas drásticas de aislamiento que permitieron controlar el brote."
ld0093,¿Dónde apareció el primer caso de Covid en la Argentina?,AD,-
mp0013,¿Quién es Salinas?,AD,"[El ministro de Salud], Daniel Salinas, se expresó este sábado a propósito de la multitudinaria Marcha por la Diversidad celebrada el viernes por la tarde."
mp0013,¿Qué marcha fue criticada por Salinas?,AD,"El ministro de Salud, Daniel Salinas, se expresó este sábado a propósito de la multitudinaria [Marcha por la Diversidad] celebrada el viernes por la tarde."
mp0013,¿Cuántas personas se estima que acudieron a la marcha?,AD,-
ld0101,¿Quién es el secretario de Presidencia?,GM,"La medida rige para funcionarios y clientes, anunció el secretario de Presidencia, [Álvaro Delgado]."
ld0101,¿Quiénes deben usar tapabocas? ,GM,Delgado explicó que el gobierno adoptó la medida en acuerdo con la Asociación de Supermercados y que esta aplica para “[clientes y funcionarios de esos centros comerciales]”. 
ld0103,¿Cuándo se inició el confinamiento? ,GM,-
ld0103,¿Qué institución preside Rafael Radi? ,GM,"Rafael Radi, presidente de la [Academia Nacional de Ciencias] e integrante del grupo de trabajo que asesorará al gobierno en las medidas a adoptar para enfrentar la pandemia de covid-19, dijo este martes en el programa En Perspectiva que, desde el punto de vista científico, no hay problema en hacer uso de los espacios públicos abiertos si se guarda la separación física recomendada."
ld0105,¿Cuál fue el primer equipo en volver a practicar en Portugal? ,GM,"[Nacional de Portugal], donde milita el ex Progreso Anthony Sosa, había sido el primer equipo del país en volver a los entrenamientos."
ld0105,¿Cuándo volvieron los equipos a entrenar en Portugal? ,GM,-
ld0106,¿Qué significa la sigla ONU?,GM,"El ministro de Relaciones Exteriores, Ernesto Talvi, destacó este martes el reconocimiento de las Oficinas Regionales del Alto Comisionado de [Organización de las Naciones Unidas] (ONU) para los Derechos Humanos en relación a las acciones llevadas adelante para que los ciudadanos de otros países que estaban en Uruguay volvieran a su lugar de origen, así como las acciones que el gobierno llevó a cabo para que los uruguayos varados en el exterior pudieran retornar."
ld0106,¿Qué autoridad de la ONU reconoció el trabajo de Uruguay?,GM,-
ld0109,¿Quién es el vocero de Comida para Héores? ,GM,"“Fue de manera impulsiva: sentíamos que teníamos que hacer algo por los equipos de salud y el primer día decidimos llevar unas viandas al Maciel”, resume [Shai Steinhaus], portavoz de Comida para Héroes, un grupo nucleado en torno al bar Rumba (Héctor Miranda y Ellauri), desde los dueños hasta los encargados y el cocinero."
ld0109,¿Dónde queda el bar Rumba?,GM,"“Fue de manera impulsiva: sentíamos que teníamos que hacer algo por los equipos de salud y el primer día decidimos llevar unas viandas al Maciel”, resume Shai Steinhaus, portavoz de Comida para Héroes, un grupo nucleado en torno al bar Rumba ([Héctor Miranda y Ellauri]), desde los dueños hasta los encargados y el cocinero."
ld0111,¿Cuánto dinero aportará la fundación Mario Benedetti a los afectados por la COVID-19?,GM,"Así, y para cumplir a cabalidad el legado del escritor, se creó un fondo que cuenta, en principio, con [180.000 pesos uruguayos] (se han “iniciado contactos” para que entidades públicas y privadas también contribuyan), que serán distribuidos en 36 bonos de 5.000 pesos cada uno. Podrán solicitar esta ayuda escritores y escritoras que vivan en Uruguay (con ciudadanía uruguaya o residencia legal en el país) y que completen el formulario de registro que está en la página web de la fundación."
ld0111,¿Cuántos bonos se repartirán por la fundación? ,GM,"Así, y para cumplir a cabalidad el legado del escritor, se creó un fondo que cuenta, en principio, con 180.000 pesos uruguayos (se han “iniciado contactos” para que entidades públicas y privadas también contribuyan), que serán distribuidos en [36] bonos de 5.000 pesos cada uno. Podrán solicitar esta ayuda escritores y escritoras que vivan en Uruguay (con ciudadanía uruguaya o residencia legal en el país) y que completen el formulario de registro que está en la página web de la fundación."
ld0114,¿Cuántos muertos ha habido en Paraguay por COVID-19?,GM,Se confirmaron 208 contagios y [ocho] muertes atribuidas a la covid-19. 
ld0114,¿Quién es el presidente de Paraguay? ,GM,"Una de esas iniciativas, presentada en el Senado por el centroizquierdista Frente Guasú, pedía al Ejecutivo de [Mario Abdo Benítez] que se restablecieran las relaciones con China."
mp0021,¿En qué empresa trabaja Milano? ,GM,"Sobre esto conversó en la mañana de este martes Emiliano Cotelo, conductor de En Perspectiva en Radiomundo, con el ingeniero Gastón Milano, gerente del equipo de investigación y desarrollo de la empresa [GeneXus]."
mp0021,¿Cómo se llama la aplicación presentada? ,GM,El Poder Ejecutivo presentó este lunes la nueva versión de la aplicación [CoronavirusUy] desarrollada junto a Google y Apple.
mp0023,¿Quién es Paganini?,GM,"El [ministro de Industria, Energía y Minería], Omar Paganini, el ministro de Salud Pública, Daniel Salinas y el ingeniero Nicolás Jodal brindaron una conferencia de prensa este lunes para brindar algunos detalles de la nueva actualización de la app Coronavirus Uy, que a partir de este lunes añadió las alertas de exposición."
mp0023,¿Quién es Nicolás Jodal? ,GM,-
ld0001,¿Cuándo se podrán retomar las clases presenciales en la educación terciaria?,etapa1,-
ld0001,¿Cuándo se retoman las clases presenciales en las universidades privadas?,etapa1,-
ld0001,¿Cuándo se retoma la presencialidad en las universidades privadas?,etapa1,-
ld0001,¿Cuándo se retomaría la presencialidad en la universidad?,etapa1,-
ld0001,¿Cuándo se suspendieron los cursos presenciales?,etapa1,-
ld0001,¿Cuándo se van a retomar las clases presenciales en la UDELAR?,etapa1,-
ld0001,¿Cuántas universidades hicieron una propuesta al MEC para retomar clases presenciales en mayo?,etapa1,-
ld0001,¿Desde cuándo están suspendidas las clases presenciales en las universidades privadas?,etapa1,-
ld0001,¿Desde cuándo están suspendidas las clases presenciales en las universidades?,etapa1,-
ld0001,¿Dónde se retomarían las clases presenciales?,etapa1,"El ministro de Educación y Cultura, Pablo Da Silveira, aseguró que su cartera está evaluando la propuesta de [las universidades privadas] de retomar algunos cursos presenciales en mayo y anunció que dará una respuesta en los próximos días."
ld0001,¿El MEC puede realizar una contrapropuesta para aplazar el inicio de cursos presenciales?,etapa1,-
