Documento	Pregunta	Anotador	Respuesta	
ld0009	¿Cuántos días de cuarentena hubo en España?	AR	Tras [42] días de confinamiento, los niños de menos de 14 años pueden salir de sus casas en España durante una hora al día, acompañados de un adulto y a una distancia máxima de un kilómetro de su casa.	
ld0009	¿Qué actividades al aire libre se permiten en España?	AR	-	
ld0012	¿Qué comercios se vieron afectados por la pandemia?	AR	-	
ld0012	¿Cuánto tiempo estuvieron cerrados los comercios durante la pandemia?	AR	-	
ld0073	¿Quién recomienda las medidas sanitarias en Uruguay?	AD	-	
ld0073	¿Cuántos casos de Covid había en Uruguay en la semana del 1 de mayo 2020?	AD	-	
ld0079	¿Cuántas empresas cerraron por la pandemia?	AD	-	
ld0079	¿Qué porcentaje de empresas están desconformes con las medidas del gobierno en pandemia?	AD	Encuesta de la Cámara de Comercio: [58%] de las empresas consideran que medidas del gobierno son “insuficientes” o “discordantes”	
ld0079	¿Cuántas personas están en seguro de paro?	AD	-	
ld0082	¿Cuándo es la Feria Judicial Sanitaria?	AD	Pero debido a la pandemia y a la cuarentena, [desde el 14 de marzo del corriente año, la Suprema Corte de Justicia (SCJ, órgano máximo de nuestro Poder Judicial) resolvió comenzar una Feria Judicial Sanitaria que en principio se extenderá, según la propia SCJ, hasta el jueves 30 de abril].	
ld0082	¿Quiénes hacen la Feria Judicial Sanitaria?	AD	-	
ld0082	¿Cuánto dura la Feria Judicial Sanitaria?	AD	-	
ld0083	¿Cuándo se interrumpieron las funciones teatrales a causa de la pandemia?	AD	[El 13 de marzo], en el momento en que Uruguay declaraba estado de emergencia sanitaria, con el equipo de Doméstica realidad nos encontrábamos en la sala Atahualpa del teatro El Galpón, donde nos preparábamos para nuestra segunda función con público.	
ld0083	¿Cuántas salas teatrales tuieron que suspender sus funciones?	AD	-	
ld0083	¿Cuántas funciones se suspendieron a causa de la pandemia?	AD	-	
mp0061	¿En qué parte de Argentina se detectaron los casos?	SGoy	-	
mp0061	¿Cuándo se detectó el primer caso de la variante delta?	SGoy	-	
mp0061	¿Cuántos casos de covid hay en Argentina?	SGoy	-	
mp0061	¿Cuántos casos se detectaron en total?	SGoy	La ministra de Salud de Argentina, Carla Vizzotti, informó este martes que diez de los [202] contagios detectados en el país con la variante delta de la covid-19 no tienen origen rastreable a un caso importado.	
mp0062	¿Cuántos casos de covid hay en Alemania?	SGoy	-	
mp0062	¿Cuántos casos de covid se detectaron hoy en Alemania?	SGoy	En las últimas 24 horas se verificaron [3.668] nuevas infecciones y cuatro fallecidos con o por coronavirus.	
mp0062	¿Qué vacuna se está usando en Alemania?	SGoy	-	
mp0063	¿Qué vacuna contra el covid se está usando en Israel?	SGoy	-	
mp0063	¿Cuántos casos de covid hubo hoy en Israel?	SGoy	El Ministerio de Sanidad informó este lunes de [6.467] nuevos positivos, lo que eleva a 994.615 el balance provisional de casos de COVID-19 desde el inicio de la pandemia.	
mp0063	¿Cuántos casos de covid acumulados hubo en Israel?	SGoy	El Ministerio de Sanidad informó este lunes de 6.467 nuevos positivos, lo que eleva a [994.615] el balance provisional de casos de COVID-19 desde el inicio de la pandemia.	
mp0064	¿Cuándo se dio el primer caso de covid en China?	SGoy	Desde la aparición de los primeros casos de covid en el país, [a finales del 2019], se trata del brote más importante en términos geográficos.	
mp0064	¿Cuánta gente murio por covid hoy en China?	SGoy	-	
mp0065	¿Cuántos casos de covid se detectaron hoy en Nueva Zelanda?	SGoy	Las autoridades registraron hoy [34] nuevos contagios locales, lo que supone un total de 107 casos desde el pasado martes.	
mp0065	¿Qué vacuna se está usando en Nueva Zelanda?	SGoy	-	
ld0303	¿Cuántos casos de covid hubo hoy en Nueva York?	SGoy	-	
ld0303	¿Cuántas personas murieron por covid en Nueva York?	SGoy	El estado de Nueva York, y en particular la ciudad del mismo nombre, han sido las zonas más afectadas del país por la pandemia, con [más de 7.000] fallecidos y casi 175.000 personas infectadas.	
ld304	¿Cuántas muertes hubo en España por covid?	SGoy	España es ya el segundo país del mundo con mayor número de casos confirmados de coronavirus, con más de 157.000, un número que sólo supera Estados Unidos, y la cifra de muertos es [más de 15.800], sólo superada por Italia.	
ld304	¿Cuándo comenzó el confinamiento en España?	SGoy	-	
ld0201	¿Qué medidas tomó Angela Merkel para flexibilizar la cuarentena?	LC	[Las escuelas de todo el país reabrirán sus puertas] nuevamente el 4 de mayo; en principio, los primeros en retornar a las aulas serán los estudiantes que cursan sus últimos años, tanto en la educación primaria como en la secundaria, informó la mandataria en una conferencia de prensa.	
ld0201	¿Qué medidas tomó Angela Merkel para flexibilizar la cuarentena?	LC	Además, a partir del lunes [podrán volver a funcionar, respetando un protocolo de actuación que garantice la higiene de empleados y clientes, los comercios de hasta 800 metros cuadrados, así como las librerías y los concesionarios de automóviles]; este último es uno de los sectores más pujantes de la hoy alicaída economía germana.	
ld0201	¿Qué medidas tomó Angela Merkel para flexibilizar la cuarentena?	LC	Entre las medidas de normalización, también se estima que en mayo [volverán a jugarse los campeonatos de fútbol profesional], aunque con fuertes medidas restrictivas y obviamente sin público en las tribunas.	
ld0201	¿Cuántos casos de covid-19 hay en Alemania?	LC	De acuerdo a cifras oficiales, en el país, en el que viven algo más de 83 millones de personas, se diagnosticó con covid-19 a [134.753] y se adjudicó a esta causa la muerte de 3.804.	
ld0201	¿Cuántos muertos por covid-19 hay en Alemania?	LC	De acuerdo a cifras oficiales, en el país, en el que viven algo más de 83 millones de personas, se diagnosticó con covid-19 a 134.753 y se adjudicó a esta causa la muerte de [3.804].	
ld0202	¿Cuánto dinero aporta Estados Unidos a la OMS?	LC	Estados Unidos es el principal aportante de la OMS, ya que su contribución supone [22% del total de su presupuesto].	
ld0202	¿Dónde se originó la pandemia de covid-19?	LC	-	
ld0202	¿Quién es el presidente de Estados Unidos?	LC	La decisión de [Donald Trump] de no financiar más a la Organización Mundial de la Salud (OMS), tras acusarla de encubrir la expansión del coronavirus, provocó una oleada de críticas a nivel internacional.	
ld0203	¿Quién es el presidente de Argentina?	LC	La falta de fondos necesarios para paliar la grave crisis económica que atraviesa Argentina, que se vio, al igual que el resto del mundo, notoriamente dañada por la pandemia de coronavirus, llevó al gobierno que encabeza [Alberto Fernández] a tomar medidas excepcionales.	
ld0203	¿Cuánto dinero recaudará Argentina con su impuesto a las grandes fortunas?	LC	Gobierno argentino calcula que recaudará algo más de [3.000 millones de dólares] con el impuesto a las grandes fortunas del país	
ld0203	¿Cuánto dinero recaudará Argentina con su impuesto a las grandes fortunas?	LC	De acuerdo a los cálculos preliminares, el gobierno espera recaudar una cifra algo superior a [3.000 millones de dólares], de acuerdo con lo que reveló el diputado oficialista Carlos Heller, quien encabeza la redacción de la normativa, según consignó Tiempo Argentino.	
ld0203	¿Quiénes deben pagar el impuesto a las grandes fortunas de Argentina?	LC	El nuevo tributo gravaría a [las personas físicas con riquezas por encima de los tres millones de dólares y también alcanzaría a los patrimonios y ganancias empresariales].	
ld0204	¿En qué fecha se iba a jugar el Tour de Francia?	LC	-	
ld0204	¿Cuántos casos de coronavirus hay en Francia?	LC	-	
ld0204	¿Qué ciudades atraviesa el Tour de France?	LC	La carrera por etapas más importante del mundo tendrá largada en [Niza] –donde también llegará ese mismo día– y, tras 21 etapas, tendrá su punto final en los Campos Elíseos de París.	
ld0204	¿Qué ciudades atraviesa el Tour de France?	LC	La carrera por etapas más importante del mundo tendrá largada en Niza –donde también llegará ese mismo día– y, tras 21 etapas, tendrá su punto final en los Campos Elíseos de [París].	
ld0205	¿Cuándo se suspendió la LUB?	LC	-	
ld0205	¿Cuándo vuelven a jugarse los partidos de la Liga Uruguaya de Básquetbol?	LC	La LUB vuelve en [setiembre]	
ld0205	¿Cuándo vuelven a jugarse los partidos de la Liga Uruguaya de Básquetbol?	LC	Así lo hizo saber el Consejo de la Liga, que resolvió la reanudación de los play off en [setiembre] y con público en las tribunas.	
ld0205	¿Cuántos partidos de la LUB se suspendieron debido al covid?	LC	Para el comienzo de los play off [falta una etapa], pero los clasificados están definidos: Olimpia, Malvín, Nacional, Trouville, Defensor Sporting, Hebraica y Macabi, Aguada y Urunday Universitario.	
mp0041	¿Qué departamentos de Uruguay tienen casos de covid?	LC	-	
mp0041	¿Cuántos contagiados de coronavirus hay en Montevideo?	LC	-	
mp0041	¿Cuántos enfermos de covid-19 hay en Canelones?	LC	-	
ld0206	¿Cuántas camas de CTI hay?	LC	Si ahora tomamos sólo las camas de cuidados intensivos y cuidados intermedios, los datos del MSP nos dicen que hay [881] (691 en las mutuales y 190 en ASSE), lo que da 2,6 camas cada 10.000 habitantes, también con liderazgo en la región.	
ld0206	¿Cuántos casos de covid-19 hay?	LC	-	
ld0206	¿Cuántas camas de CTI están ocupadas?	LC	-	
ld0207	¿Cuántos estudiantes de primaria tomarán clases virtuales?	LC	-	
ld0207	¿Qué carreras de UTU se harán de forma virtual?	LC	Este escenario cambió cuando, hace pocas semanas, el consejo resolvió que [todas] las carreras terciarias de UTU tuvieran también su espacio en la virtualidad.	
ld0207	¿Hasta cuándo se suspenden las clases presenciales?	LC	-	
ld0208	¿Desde cuándo están cerradas las policlínicas?	LC	[Luego de que se conocieran los primeros casos de covid-19], ASSE cerró las policlínicas barriales y los funcionarios que trabajaban en ellas pasaron a los centros de salud de ASSE.	
ld0208	¿Cuándo reabren las policlínicas?	LC	-	
ld0208	¿Qué policlínicas están cerradas debido al covid?	LC	Según el relevo realizado por Sumefac, son 48 las policlínicas de ASSE que permanecen cerradas en el área metropolitana: [Las Acacias, Los Reyes, Aquiles Lanza (dependientes del centro de salud Misurraco); 24 de Junio, Don Bosco, El Eje, Monarca, Villa Farré (centro de salud Jardines del Hipódromo); Autódromo, Rambla, Don Arturo, Médanos, Colinas de Solymar, Melvin Jones (centro de salud Ciudad de la Costa); Penino, Santiago Vázquez (centro de salud Ciudad del Plata); Los Bulevares, Las Torres, Villa Sarandí, 6 de Diciembre, Villa Teresa, Las Flores, Espartaco (centro de salud Paso de la Arena); Inve 19, Complejo América, San José, 25 de Agosto, Jardines de Peñarol (centro de salud Sayago); Casa de Mario, Club Polonio, Tito Borjas, 19 de Abril (centro de salud Cerro); Acción Promocional 18 de Julio (centro de salud Maroñas); Santa María, Capra, Cirilo, 23 de Diciembre, Fénix, Toledo Chico (centro de salud Badano Repeto); Manuel Liberoff, Delmira Agustini, Servando Gómez (centro de salud La Cruz de Carrasco); Casa Pueblo, Centro de Barrio (centro de salud Monterrey); La Casona (centro de salud Unión); Covimt 9, San Lorenzo, Legión de la Buena Voluntad (centro de salud Giordano)].	
ld0209	¿Cuántos proyectos de ley presentó el Frente Amplio para la emergencia sanitaria?	LC	La bancada de diputados del Frente Amplio (FA) redactó alrededor de [diez] proyectos de ley que atienden a la situación de emergencia sanitaria que sufre el país por la propagación del nuevo coronavirus.	
ld0209	¿Fueron aprobadas las propuestas del Frente Amplio sobre la emergencia sanitaria?	LC	-	
ld0209	¿Qué proyectos de ley presentó la coalición de gobierno para la emergencia sanitaria?	LC	-	
ld0210	¿Cuándo se reanudan las clases en las escuelas no rurales?	LC	-	
ld0210	¿Desde cuándo se mantienen cerradas las escuelas?	LC	-	
ld0210	¿Qué condiciones debe tener una escuela para poder reanudar sus clases?	LC	Como resultado de ese encuentro, se logró flexibilizar el inicio de clases: sólo comenzarán la semana que viene las [escuelas que estén habilitadas por el Sinae].	
ld0210	¿Qué condiciones debe tener una escuela para poder reanudar sus clases?	LC	Elbia Pereira, secretaria general de la Federación Uruguaya de Magisterio-Trabajadores de Educación Primaria (FUM-TEP), aseguró a la diaria que no comenzarán las 973 escuelas rurales, sino sólo [aquellas que tengan la aprobación sanitaria del Sinae], que tomará como insumo un informe que realizó el Consejo de Educación Inicial y Primaria (CEIP) para corroborar las distintas situaciones en las que se encuentran las instituciones.	
mp0042	¿Cuántos desocupados hay en América Latina?	LC	-	
mp0042	¿Cuál es el nivel de ingreso en América Latina?	LC	-	
mp0042	¿Cuántos niños tienen sobrepeso en Uruguay?	LC	-	
mp0066	¿Qué edad tenía el conductor de radio de EEUU que murió de covid?	SGoy	Phil Valentine, un popular conductor de un programa de radio en Nashville (sur de EE.UU.) de ideas conservadoras y reacio a las vacunas contra la covid-19, falleció a los [61 años] a causa de esa enfermedad, según informó la emisora.	
mp0066	¿Qué vacuna contra el covid se está usando en USA?	SGoy	-	
mp0068	¿Qué vacuna contra el covid se usa en Israel?	SGoy	-	
mp0068	¿Cuánta de la población de Israel está vacunada?	SGoy	[Cerca del 60%] de la población, de unos 9,3 millones de habitantes, ha completado la pauta de las dos dosis y con la de refuerzo Israel pretende contener las hospitalizaciones y los casos graves.	
mp0068	¿Cuánta gente murió en Israel a causa del covid?	SGoy	-	
mp0070	¿Qué centro educativo de Paysandú cerró por covid?	SGoy	El director de Salud de Paysandú, Carlos Leoni, señaló que el colegio “tuvo que interrumpir la presencialidad y continuar con clases virtuales”. El director de Salud de Paysandú, Carlos Leoni, informó este miércoles en conferencia de prensa que [un centro educativo privado] del departamento fue cerrado por un brote de coronavirus.	
mp0070	¿Hasta cuándo cerró el centro educativo de Paysandú?	SGoy	-	
ld0307	¿Cuándo se dio un cuello de botella en el Hospital Español?	SGoy	Finalmente, [en la tarde del jueves 9 de abril], una médica de familia del Cerro lo fue a ver a su casa y ordenó su traslado al Hospital Español.	
ld0307	¿Cuántos años tiene el paciente que esperó toda una noche en una ambulancia?	SGoy	-	
ld0307	¿Quién tuvo que esperar toda la noche en una ambulancia?	SGoy	La semana pasada, [Martín Mesa] empezó con fiebre alta y tos seca. Su familia llamó en varias instancias al número 105, del Servicio de Atención Médica de Emergencia, pero no lograron que un médico lo fuera a ver.	
ld0309	¿Cuándo se supendieron las clases?	SGoy	-	
ld0309	¿Quién pidió no retomar las clases el 22 de abril?	SGoy	[La Sociedad de Medicina Rural del Uruguay (Someruy)] manifestó su desacuerdo con la decisión del gobierno de retomar las clases presenciales en 973 escuelas rurales de todo el país, a excepción de Canelones, el miércoles 22 de abril.	
ld0309	¿Cuándo se piensa retomar las clases presenciales?	SGoy	La Sociedad de Medicina Rural del Uruguay (Someruy) manifestó su desacuerdo con la decisión del gobierno de retomar las clases presenciales en 973 escuelas rurales de todo el país, a excepción de Canelones, [el miércoles 22 de abril].	
ld0310	¿Qué es la FUM?	SGoy	En un comunicado hecho público este viernes, la Federación Uruguaya a de Magisterio (FUM), manifestó su rechazo a la determinación del Poder Ejecutivo de reanudar las clases en las escuelas rurales a partir del 22 de abril.	
ld0310	¿Cuándo se piensa reanudar las clases en las escuelas rurales?	SGoy	En un comunicado hecho público este viernes, la Federación Uruguaya a de Magisterio (FUM), manifestó su rechazo a la determinación del Poder Ejecutivo de reanudar las clases en las escuelas rurales a partir del [22 de abril].	
ld0313	¿Cuáles son los principales síntomas del covid?	SGoy	-	
ld0085	¿Por dónde se puede ver el seminario de Isol Misenta?	AD	La autora e ilustradora argentina Isol Misenta, premiada con el Memorial Astrid Lindgren 2013, formará parte esta tarde a las 17.00 de un taller [a través del Instagram Live de @plastilinarte], leyendo parte de su libro Petit, el monstruo, que inspiró una serie animada infantil.	
ld0085	¿Cuándo va a ser el seminario de Isol Misenta?	AD	La autora e ilustradora argentina Isol Misenta, premiada con el Memorial Astrid Lindgren 2013, formará parte [esta tarde a las 17.00] de un taller a través del Instagram Live de @plastilinarte, leyendo parte de su libro Petit, el monstruo, que inspiró una serie animada infantil.	
