¿Cuándo empieza la temporada del mundial de Fórmula 1?	['julio']
¿Cuándo empieza la temporada del mundial de Fórmula 1?	['julio']
¿Qué temores despierta el coronavirus?	['']
¿Quiénes se ven afectados por el coronavirus?	['']
¿Cómo se contagia el virus?	['']
¿Qué morbilidad tiene el coronavirus?	['']
¿Qué efecto tuvo la cuarentena en la realización de películas?	['han mermado los circuitos de exhibición y las posibilidades materiales de realizar películas']
¿Qué actividad artística fue la más afectada por la pendemia?	['la industria del cine, ya que, dentro de todas las artes, por su carácter colectivo y su costado industrial posiblemente sea –junto con el teatro– la más afectada']
¿Qué películas nuevas ofrece Netflix?	['Largo viaje hacia la noche y Atlantique']
¿Qué películas nuevas ofrece Netflix?	['Largo viaje hacia la noche, del chino Bi Gan, y Atlantique, de la francosenegalesa Mati Diop']
¿Cuántos días de cuarentena hubo en España?	['42']
¿Qué actividades al aire libre se permiten en España?	['']
¿Qué comercios se vieron afectados por la pandemia?	['']
¿Cuánto tiempo estuvieron cerrados los comercios durante la pandemia?	['']
¿Quién recomienda las medidas sanitarias en Uruguay?	['']
¿Cuántos casos de Covid había en Uruguay en la semana del 1 de mayo 2020?	['']
¿Cuántas empresas cerraron por la pandemia?	['']
¿Qué porcentaje de empresas están desconformes con las medidas del gobierno en pandemia?	['58%']
¿Cuántas personas están en seguro de paro?	['']
¿Cuándo es la Feria Judicial Sanitaria?	['desde el 14 de marzo del corriente año, la Suprema Corte de Justicia (SCJ, órgano máximo de nuestro Poder Judicial) resolvió comenzar una Feria Judicial Sanitaria que en principio se extenderá, según la propia SCJ, hasta el jueves 30 de abril']
¿Quiénes hacen la Feria Judicial Sanitaria?	['']
¿Cuánto dura la Feria Judicial Sanitaria?	['']
¿Cuándo se interrumpieron las funciones teatrales a causa de la pandemia?	['El 13 de marzo']
¿Cuántas salas teatrales tuieron que suspender sus funciones?	['']
¿Cuántas funciones se suspendieron a causa de la pandemia?	['']
¿En qué parte de Argentina se detectaron los casos?	['']
¿Cuándo se detectó el primer caso de la variante delta?	['']
¿Cuántos casos de covid hay en Argentina?	['']
¿Cuántos casos se detectaron en total?	['202']
¿Cuántos casos de covid hay en Alemania?	['']
¿Cuántos casos de covid se detectaron hoy en Alemania?	['3.668']
¿Qué vacuna se está usando en Alemania?	['']
¿Qué vacuna contra el covid se está usando en Israel?	['']
¿Cuántos casos de covid hubo hoy en Israel?	['6.467']
¿Cuántos casos de covid acumulados hubo en Israel?	['994.615']
¿Cuándo se dio el primer caso de covid en China?	['a finales del 2019']
¿Cuánta gente murio por covid hoy en China?	['']
¿Cuántos casos de covid se detectaron hoy en Nueva Zelanda?	['34']
¿Qué vacuna se está usando en Nueva Zelanda?	['']
¿Cuántos casos de covid hubo hoy en Nueva York?	['']
¿Cuántas personas murieron por covid en Nueva York?	['más de 7.000']
¿Cuántas muertes hubo en España por covid?	['más de 15.800']
¿Cuándo comenzó el confinamiento en España?	['']
¿Qué medidas tomó Angela Merkel para flexibilizar la cuarentena?	['Las escuelas de todo el país reabrirán sus puertas']
¿Qué medidas tomó Angela Merkel para flexibilizar la cuarentena?	['podrán volver a funcionar, respetando un protocolo de actuación que garantice la higiene de empleados y clientes, los comercios de hasta 800 metros cuadrados, así como las librerías y los concesionarios de automóviles']
¿Qué medidas tomó Angela Merkel para flexibilizar la cuarentena?	['volverán a jugarse los campeonatos de fútbol profesional']
¿Cuántos casos de covid-19 hay en Alemania?	['134.753']
¿Cuántos muertos por covid-19 hay en Alemania?	['3.804']
¿Cuánto dinero aporta Estados Unidos a la OMS?	['22% del total de su presupuesto']
¿Dónde se originó la pandemia de covid-19?	['']
¿Quién es el presidente de Estados Unidos?	['Donald Trump']
¿Quién es el presidente de Argentina?	['Alberto Fernández']
¿Cuánto dinero recaudará Argentina con su impuesto a las grandes fortunas?	['3.000 millones de dólares']
¿Cuánto dinero recaudará Argentina con su impuesto a las grandes fortunas?	['3.000 millones de dólares']
¿Quiénes deben pagar el impuesto a las grandes fortunas de Argentina?	['las personas físicas con riquezas por encima de los tres millones de dólares y también alcanzaría a los patrimonios y ganancias empresariales']
¿En qué fecha se iba a jugar el Tour de Francia?	['']
¿Cuántos casos de coronavirus hay en Francia?	['']
¿Qué ciudades atraviesa el Tour de France?	['Niza']
¿Qué ciudades atraviesa el Tour de France?	['París']
¿Cuándo se suspendió la LUB?	['']
¿Cuándo vuelven a jugarse los partidos de la Liga Uruguaya de Básquetbol?	['setiembre']
¿Cuándo vuelven a jugarse los partidos de la Liga Uruguaya de Básquetbol?	['setiembre']
¿Cuántos partidos de la LUB se suspendieron debido al covid?	['falta una etapa']
¿Qué departamentos de Uruguay tienen casos de covid?	['']
¿Cuántos contagiados de coronavirus hay en Montevideo?	['']
¿Cuántos enfermos de covid-19 hay en Canelones?	['']
¿Cuántas camas de CTI hay?	['881']
¿Cuántos casos de covid-19 hay?	['']
¿Cuántas camas de CTI están ocupadas?	['']
¿Cuántos estudiantes de primaria tomarán clases virtuales?	['']
¿Qué carreras de UTU se harán de forma virtual?	['todas']
¿Hasta cuándo se suspenden las clases presenciales?	['']
¿Desde cuándo están cerradas las policlínicas?	['Luego de que se conocieran los primeros casos de covid-19']
¿Cuándo reabren las policlínicas?	['']
¿Qué policlínicas están cerradas debido al covid?	['Las Acacias, Los Reyes, Aquiles Lanza (dependientes del centro de salud Misurraco); 24 de Junio, Don Bosco, El Eje, Monarca, Villa Farré (centro de salud Jardines del Hipódromo); Autódromo, Rambla, Don Arturo, Médanos, Colinas de Solymar, Melvin Jones (centro de salud Ciudad de la Costa); Penino, Santiago Vázquez (centro de salud Ciudad del Plata); Los Bulevares, Las Torres, Villa Sarandí, 6 de Diciembre, Villa Teresa, Las Flores, Espartaco (centro de salud Paso de la Arena); Inve 19, Complejo América, San José, 25 de Agosto, Jardines de Peñarol (centro de salud Sayago); Casa de Mario, Club Polonio, Tito Borjas, 19 de Abril (centro de salud Cerro); Acción Promocional 18 de Julio (centro de salud Maroñas); Santa María, Capra, Cirilo, 23 de Diciembre, Fénix, Toledo Chico (centro de salud Badano Repeto); Manuel Liberoff, Delmira Agustini, Servando Gómez (centro de salud La Cruz de Carrasco); Casa Pueblo, Centro de Barrio (centro de salud Monterrey); La Casona (centro de salud Unión); Covimt 9, San Lorenzo, Legión de la Buena Voluntad (centro de salud Giordano)']
¿Cuántos proyectos de ley presentó el Frente Amplio para la emergencia sanitaria?	['diez']
¿Fueron aprobadas las propuestas del Frente Amplio sobre la emergencia sanitaria?	['']
¿Qué proyectos de ley presentó la coalición de gobierno para la emergencia sanitaria?	['']
¿Cuándo se reanudan las clases en las escuelas no rurales?	['']
¿Desde cuándo se mantienen cerradas las escuelas?	['']
¿Qué condiciones debe tener una escuela para poder reanudar sus clases?	['escuelas que estén habilitadas por el Sinae']
¿Qué condiciones debe tener una escuela para poder reanudar sus clases?	['aquellas que tengan la aprobación sanitaria del Sinae']
¿Cuántos desocupados hay en América Latina?	['']
¿Cuál es el nivel de ingreso en América Latina?	['']
¿Cuántos niños tienen sobrepeso en Uruguay?	['']
¿Qué edad tenía el conductor de radio de EEUU que murió de covid?	['61 años']
¿Qué vacuna contra el covid se está usando en USA?	['']
¿Qué vacuna contra el covid se usa en Israel?	['']
¿Cuánta de la población de Israel está vacunada?	['Cerca del 60%']
¿Cuánta gente murió en Israel a causa del covid?	['']
¿Qué centro educativo de Paysandú cerró por covid?	['un centro educativo privado']
¿Hasta cuándo cerró el centro educativo de Paysandú?	['']
¿Cuándo se dio un cuello de botella en el Hospital Español?	['en la tarde del jueves 9 de abril']
¿Cuántos años tiene el paciente que esperó toda una noche en una ambulancia?	['']
¿Quién tuvo que esperar toda la noche en una ambulancia?	['Martín Mesa']
¿Cuándo se supendieron las clases?	['']
¿Quién pidió no retomar las clases el 22 de abril?	['La Sociedad de Medicina Rural del Uruguay (Someruy)']
¿Cuándo se piensa retomar las clases presenciales?	['el miércoles 22 de abril']
¿Qué es la FUM?	['']
¿Cuándo se piensa reanudar las clases en las escuelas rurales?	['22 de abril']
¿Cuáles son los principales síntomas del covid?	['']
¿Por dónde se puede ver el seminario de Isol Misenta?	['a través del Instagram Live de @plastilinarte']
¿Cuándo va a ser el seminario de Isol Misenta?	['esta tarde a las 17.00']
¿Quién es Isol Misenta?	['autora e ilustradora argentina']
¿A quién está dirigido el seminario de Isol Misenta?	['para familias']
¿Dónde se va a transmitir el encuentro virtual de diseño?	['a través del canal en Instagram @latirfestival']
¿Quiénes participan del encuentro virtual de diseño?	['diseñadores, ilustradores, emprendedores y creativos']
¿Quiénes participan del encuentro virtual de diseño?	['Palo y Nuel, un dúo creativo que trabaja bajo el nombre de Estudio Santa Rita']
¿Quiénes participan del encuentro virtual de diseño?	['Amadeo Gonzales']
¿Quiénes participan del encuentro virtual de diseño?	['Choper Nawers']
¿Quiénes participan del encuentro virtual de diseño?	['San Spiga']
¿Quiénes participan del encuentro virtual de diseño?	['Sasha Natasha']
¿Quiénes participan del encuentro virtual de diseño?	['Martín Azambuja']
¿Quiénes participan del encuentro virtual de diseño?	['Berch Kotogian']
¿Quiénes participan del encuentro virtual de diseño?	['Panco Sassano']
¿Quiénes participan del encuentro virtual de diseño?	['Pepita Sandwich']
¿Cuándo se va a desarrollar el encuentro virtual de diseño?	['Hasta el 25 de abril']
¿Cuándo comenzó la pandemia en Italia?	['']
¿Quién es el Primer Ministro de Italia?	['Giuseppe Conte']
¿Quién es el Ministro de Salud de Italia?	['']
¿Cuándo comienza la reapertura tras la pandemia en Italia?	['a partir del 4 de mayo']
¿Qué es la OPS?	['la Organización Panamericana de la Salud']
¿Quién es el presidente de la OPS?	['Carissa Etienne']
¿Cuánto cuestan los test de Covid?	['']
¿Cuáles tipos de test de Covid existen?	['']
¿Cuándo se decretó la cuarentena en la Argentina?	['Al cumplirse un mes']
¿Cuándo apareció el primer caso de Covid en la Argentina?	['el 3 de marzo']
¿Dónde apareció el primer caso de Covid en la Argentina?	['']
¿Cuántas personas tienen la app de Coronavirus.uy?	['662.234']
¿Cuántas personas tienen la app de Coronavirus.uy?	['unas 662.234']
¿Quién es el director del programa salud.uy?	['Pablo Orefice']
¿Cuándo se activa la alerta de exposición en la app Coronavirus.uy?	['']
¿Quién es Salinas?	['El ministro de Salud']
¿Qué marcha fue criticada por Salinas?	['Marcha por la Diversidad']
¿Cuántas personas se estima que acudieron a la marcha?	['']
¿Dónde es Puente San Martín?	['el paso fronterizo entre Fray Bentos y Gualeguaychú']
¿Quién fue el primer caso positivo en puente San Martín?	['un camionero argentino']
¿Quién fue el primer caso positivo en puente San Martín?	['un camionero argentino']
¿Cuándo se detectó el primer caso positivo en puente San Martín?	['']
¿Quién es el secretario de Presidencia?	['Álvaro Delgado']
¿Quiénes deben usar tapabocas? 	['clientes y funcionarios de esos centros comerciales']
¿En cuántas escuelas rurales comenzarán las clases?	['']
¿Cuántos maestros comienzan las clases? 	['unos 560']
¿Cuándo se inició el confinamiento? 	['']
¿Qué institución preside Rafael Radi? 	['Academia Nacional de Ciencias']
¿Quién ha dejado de usar tapabocas? 	['']
¿Qué ministerio controla las restricciones? 	['Ministerio del Interior']
¿Cuál fue el primer equipo en volver a practicar en Portugal? 	['Nacional de Portugal']
¿Cuándo volvieron los equipos a entrenar en Portugal? 	['']
¿Qué significa la sigla ONU?	['Organización de las Naciones Unidas']
¿Qué autoridad de la ONU reconoció el trabajo de Uruguay?	['']
¿Qué oficina anunció la medida del gobierno de invertir en comprar estudios de covid-19?	['Unidad Centralizada de Adquisiciones del Ministerio de Economía y Finanzas (MEF)']
¿Cuánto invertirá el gobierno uruguayo en dólares para comprar estudios diganósticos y tomas de muestras?	['casi ocho millones de dólares']
¿Cuántas empresas pertenecen al CGU?	['alrededor de 180']
¿Cuántos empleados del Colectivo Gastronómico fueron enviados al seguro de paro?	['']
¿Quién es el vocero de Comida para Héores? 	['Shai Steinhaus']
¿Dónde queda el bar Rumba?	['Héctor Miranda y Ellauri']
¿Cuánto dinero aportará la fundación Mario Benedetti a los afectados por la COVID-19?	['180.000 pesos uruguayos']
¿Cuántos bonos se repartirán por la fundación? 	['36']
¿Quién es el ministro de Trabajo de Argentina?	['Claudio Moroni']
¿Cuántos trabajadores se verán afectados por la medida del gobierno argentino?	['']
¿Cuántas personas están en cuarentena en Alemania?	['']
¿Cuántas personas han muerto por Covid-19 en Alemania?	['algo menos de 4.700']
¿Cuántos muertos ha habido en Paraguay por COVID-19?	['ocho']
¿Quién es el presidente de Paraguay? 	['Mario Abdo Benítez']
¿De quién depende la Comisión Académica de Posgrados?	['Universidad de la República']
¿Quién proporciona las becas de posgrado en Uruguay?	['']
¿En qué empresa trabaja Milano? 	['GeneXus']
¿Cómo se llama la aplicación presentada? 	['CoronavirusUy']
¿Cuántas personas han bajado la aplicación?	['cerca de 350.000']
¿En qué empresa trabaja Nicolás Jodal? 	['']
¿Quién es Paganini?	['ministro de Industria, Energía y Minería']
¿Quién es Nicolás Jodal? 	['']
¿Quién desarrolló la aplicación? 	['']
¿Cómo se llama la aplicación que incluye las alertas de exposición?	['Coronavirus.uy']
¿Cuándo se podrán retomar las clases presenciales en la educación terciaria?	['']
¿Cuándo se retoman las clases presenciales en las universidades privadas?	['']
¿Cuándo se retoma la presencialidad en las universidades privadas?	['']
¿Cuándo se retomaría la presencialidad en la universidad?	['']
¿Cuándo se suspendieron los cursos presenciales?	['']
¿Cuándo se van a retomar las clases presenciales en la UDELAR?	['']
¿Cuántas universidades hicieron una propuesta al MEC para retomar clases presenciales en mayo?	['']
¿Desde cuándo están suspendidas las clases presenciales en las universidades privadas?	['']
¿Desde cuánto están suspendidas las clases presenciales en las universidades?	['']
¿Dónde se retomarían las clases presenciales?	['las universidades privadas']
¿El MEC puede realizar una contrapropuesta para aplazar el inicio de cursos presenciales?	['']
¿En qué consiste la propuesta?	['retomar algunos cursos presenciales en mayo']
¿Qué medidas se tomarán para la asistencia a clases?	['regreso paulatino y seguro a clases']
¿Qué universidades realizaron la propuesta?	['las universidades privadas']
¿Qué universidades están pensando retomar la presencialidad?	['las universidades privadas']
¿Qué universidades privadas quieren retomar las clases presenciales en mayo?	['']
¿Qué universidades propusieron remotar los cursos presenciales en mayo?	['las universidades privadas']
¿Cuál es el porcentaje de asistencia luego de la vuelta a clases presenciales?	['36%']
¿Cuándo comenzaron las clases en escuelas rurales?	['en la mañana del miércoles']
¿Cuándo comenzaron las clases en escuelas rurales?	['este miércoles']
¿Cuándo comienzan las clases presenciales en el resto de escuelas del país?	['']
¿Cuándo se retomaron las clases presenciales en escuelas rurales?	['en la mañana del miércoles']
¿Cuándo se retomaron las clases presenciales en escuelas rurales?	['este miércoles']
¿Cuándo vuelven las clases presenciales a todas las escuelas?	['']
¿Cuántos alumnos están yendo a clase en las escuelas rurales?	['']
¿Cuántas escuelas rurales hay en Uruguay?	['547']
¿Cuántas escuelas rurales hay en Uruguay?	['547']
¿Cuántas escuelas rurales retomaron las clases presenciales?	['344']
¿Cuántas escuelas rurales retomaron las clases presenciales?	['344']
¿Cuántas escuelas rurales retomaron las clases presenciales?	['344']
¿Cuántas escuelas rurales volvieron a la presencialidad?	['344']
¿Cuántas escuelas rurales volvieron a la presencialidad?	['344']
¿Cuántas escuelas rurales volvieron a la presencialidad?	['344']
¿Cuántos estudiantes asistieron a las escuelas rurales en los primeros días de clase presencial?	['1.030']
¿Cuántos estudiantes asistieron a las escuelas rurales en los primeros días de clase presencial?	['36%']
¿El gobierno tiene planes para aumentar la asistencia a las escuelas rurales?	['']
¿En cuántas escuelas rurales comenzaron las clases?	['344']
¿En cuántas escuelas rurales comenzaron las clases?	['344']
¿En cuántas escuelas rurales comenzaron las clases?	['344']
¿En qué ciudad hay clases presenciales?	['']
¿En qué departamento fue la mayor asistencia? 	['']
¿En qué departamentos comenzaron las clases presenciales?	['']
¿Hay alguna alternativa virtual para los niños que no concurrieron a la clase presencial?	['materiales para enviar a sus 16 alumnos por Whatsapp']
¿Qué medidas se tomarán para la asistencia a la escuela?	['utilizamos tapabocas, mantener distancia con los compañeros, lavado de manos más frecuente y con cuidados, alfombra con hipoclorito a la entrada, no compartir útiles y en el recreo jugar sin contacto']
¿Qué protocolo se sigue para la asistencia a las escuelas rurales?	['utilizamos tapabocas, mantener distancia con los compañeros, lavado de manos más frecuente y con cuidados, alfombra con hipoclorito a la entrada, no compartir útiles y en el recreo jugar sin contacto']
¿Quién resolvió el retorno a la presencialidad en las escuelas rurales?	['']
Pregunta	['']
¿Con qué instituciones se reunió Codicen para debatir la medida?	['Representantes de la Asociación de Institutos de Educación Privada (AIDEP) y de la Asociación Uruguaya de Educación Católica (AUDEC)']
¿Cuánto aumentaron los reclamos de los padres que mandan a sus hijos a colegio privado?	['se triplicaron']
¿Qué plataformas fueron importantes para la virtualidad en la educación?	['CREA, de Plan Ceibal']
¿Cuándo se realizó la encuesta?	['entre el 4 y el 6 de abril, el 12 y el 14 y el 20 y el 22']
¿Qué porcentaje de preocupación por contagiarse de Covid se relevó en la encuesta?	['63% en el primero, 64% en el segundo y 61% en el tercero']
¿Qué porcentaje de montevideanos se siguen informando seguido sobre el Covid, según la encuesta?	['39%, 26% y 21%']
¿Qué porcentaje de personas se informan sobre el Covid solo una vez por día o menos?	['27%, 42% y, en la última, 46%']
¿Qué porcentaje de personas tiene temor a contagiarse o que se contagie un familiar?	['de 58% a 55% y a 51%']
¿Qué porcentaje de personas cree que la preocupación por el Covid es exagerada?	['20%,17%,20%']
¿Cuándo empezará a ser obligatorio el uso de tapabocas en grandes superficies?	['Este viernes']
¿En cuáles comercios será obligatorio el uso de tapabocas en los próximos días?	['asociados al Centro de Almaceneros Minoristas, Baristas, Autoservicistas y Afines del Uruguay (CAMBADU)']
¿Cuál es uno de los sectores más afectados por la pandemia?	['sector gastronómico']
¿Cuáles son las zonas de Brasil más afectadas por el Covid?	['San Pablo y Río de Janeiro']
¿Cómo se llama el ex Ministro de Salud de Brasil, destituido por Bolsonaro?	['Luiz Henrique Mandetta']
¿Quién es el Ministro de Salud de Argentina?	['Ginés González García']
¿En qué provincias se flexibilizó la cuarentena?	['Entre Ríos, Misiones, Salta, San Juan y Neuquén']
¿En qué provincias se flexibilizó la cuarentena?	['San Juan, Santa Cruz, Misiones, Entre Ríos, Mendoza y Neuquén']
¿Hasta cuándo durará el aislamiento obligatorio en Argentina?	['hasta el 10 de mayo']
¿Cuáles son las zonas de Argentina más afectadas por el Covid?	['la ciudad de Buenos Aires y en la zona metropolitana']
¿Cuándo va a realizar los pagos la UEFA?	['de inmediato']
¿Quién es el Presidente de la UEFA?	['Aleksander Čeferin']
¿Para cuándo le gustaría a la UEFA tener definida la clasificación?	['antes de agosto']
¿Cuánto dinero se les va a adelantar a los clubes de la UEFA?	['50 millones de euros para los clubes que han cedido jugadores a las 39 federaciones que no participan en los play off de los Clasificatorios Europeos; 17,7 millones de euros para los clubes que han cedido jugadores a las 16 federaciones que participan en los play off de los Clasificatorios Europeos']
¿Cómo se llama el documento que recoge los resultados del estudio realizado por el grupo de investigación de género?	['La romantización del “quédate en casa”']
¿Cuántas mujeres viven solas con sus hijos?	['11% de los hogares en Uruguay']
¿Cuáles son los sectores económicos afectados por la pandemia en los que trabajan mayoritariamente las mujeres?	['el trabajo doméstico, los sectores vinculados al turismo o los servicios']
¿Cuáles grupos de personas son las más afectadas por el Covid?	['los trabajadores y las trabajadoras con mayor desprotección, informales y que trabajan en base a jornales']
¿A quién favorecen las medidas que está tomando el gobierno uruguayo?	['al capital']
¿Cuántos desempleados podría dejar la pandemia según la Organización Internacional del Trabajo?	['25 millones']
¿Quiénes son las personas más afectadas por la pandemia?	['personas trabajadoras en condiciones de informalidad, cuentapropistas, monotributistas, independientes, de economías de plataformas, trabajadoras domésticas']
¿A cuántas personas dejaron de pagarle las empresas transnacionales de alimentos en Chile?	['aproximadamente 4.000']
¿De cuáles organizaciones internacionales se retiró Uruguay con el gobierno actual?	['Telesur, del Banco del Sur, de la Unión de Naciones Suramericanas (Unasur)']
¿En qué países la pandemia afectó más a indígenas y afrodescendientes?	['Ecuador, Brasil o Colombia']
¿Dónde se puede realizar el cuestionario?	['cuarentena.uy']
¿Dónde se pueden ver los resultados?	['en cuarentena.uy/resultados']
¿Cómo se llama quien tuvo la idea del portal?	['Alejandro Maiche, profesor e investigador de la Facultad de Psicología de la Universidad de la República']
¿Cuánto aumentó el acceso a internet por cable y fibra óptica?	['hasta 32%']
¿Cuánto aumentó el acceso a internet por servicios móviles?	['hasta 44%']
¿Cuánto aumentó la venta de computadoras?	['40%']
¿Cuánto aumentó la venta de monitores?	['138%']
¿Cuánto aumentó la venta de cámaras web?	['179%']
¿Cuánto bajó la fabricación de dispositivos electrónicos a causa del confinamiento en China?	['8% promedio']
¿Cuál fue la empresa más afectada por la baja en producción de dispositivos electrónicos?	['Apple']
¿Cuánto bajó la producción de dispositivos electrónicos de Apple?	['20%']
¿Cuáles fueron los países más afectados por el Covid?	['Italia, España y Francia']
¿Cuándo se declaró el estado de emergencia en el mundo por el Covid?	['el 30 de enero']
¿Qué presidente le quitó el financiamiento a la OMS?	['estadounidense Donald Trump']
¿Cuánto aumentará la cantidad de personas con hambruna a causa del Covid?	['130 millones']
¿Quién es el jefe de la WFP?	['Arif Husain']
¿Cuántas fases planea el gobierno de Estados Unidos para re-abrir el país tras la cuarentena?	['tres']
¿Cada cuánto tiempo está previsto avanzar de una etapa a otra?	['cada 14 días']
¿Quién está evaluando la medida?	['Centros de Control y Prevención de Enfermedades (CDC)']
¿Cada cuánto habría entrenamientos de fútbol en Uruguay cuando se reanuden?	['día por medio']
¿Quién es el secretario de la Mutual Uruguaya de Futbolistas Profesionales?	['Mitchell Duarte']
¿Por cuánto tiempo hay que lavarse las manos para evitar el Covid?	['más de 20 segundos']
¿Cuándo aparecen los síntomas de Covid?	['entre los dos y los 14 días después de haber contraído el virus']
¿Hasta cuánto tiempo después del contagio se pueden presentar síntomas de Covid?	['14 días']
¿Qué porcentaje de personas fueron asintomáticas en Islandia?	['50%']
¿Qué porcentaje de personas con Covid van a CTI?	['alrededor de 5%']
¿Qué porcentaje de personas con Covid van a CTI?	['5%']
¿Qué porcentaje de personas presenta síntomas leves de Covid?	['alrededor de 80%']
¿Qué porcentaje de personas se enferma de forma grave de Covid?	['en el entorno de 15% atraviesa una enfermedad grave que involucra dificultad para respirar y el 5% restante ha precisado atención en CTI']
¿Cuándo se empezó a recomendar el uso de tapabocas?	['En abril']
¿Cada cuánto tiempo hay que cambiarse el tapabocas?	['cuando está húmedo o cada cuatro horas']
¿Quiénes tienen que hacer cuarentena obligatoria en Uruguay?	['las personas que tengan un diagnóstico de covid-19 o que sospechen que pueden tener la enfermedad']
¿Cuántos tipos de coronavirus afectan a los humanos?	['siete']
¿Cuándo se descubrió el Covid-19?	['en diciembre de 2019']
¿Dónde se descubrió el Covid-19?	['en la provincia china de Wuhan']
¿Cuál es el nombre completo del covid?	['SARS-CoV-2']
¿Cuándo se dio a conocer el nombre completo del covid?	['el 11 de febrero']
¿Quién le puso nombre completo al covid?	['la OMS']
¿Cuáles medicamentos sirvieron hasta ahora para tratar el covid?	['la cloroquina y la hidroxicloroquina']
¿Cuál era la fecha original del mundial de Fórmula 1?	['28 de junio']
